0.1292	0.0392	Used to - Be/Get Used to + noun / pronoun / -ing
0.1873	0.0407	Used to is used to talk about past
0.1873	0.2994	Be/Get used to is used to talk about
0.2248	0.0392	habits. It has the same form in all
0.2282	0.2980	habitual actions and means 'be/get
0.2676	0.0407	persons, singular and plural. It forms its
0.2695	0.2980	accustomed to', 'be in the habit of'.
0.2923	0.5799	Used to - Would - Was going to
0.3051	0.0407	negative and interrogative form with did.
0.3203	0.2980	I'm not used to getting up early.
0.3314	0.5799	Used to / Past Simple are used to talk about past habits or actions that happened regularly in
0.3578	0.0392	I used to cry when I was a baby.
0.3597	0.2980	They are used to cold weather.
0.3596	0.5799	the past but they no longer happen. Used to forms its negative and interrogative with 'did' and
0.3876	0.5799	it is the same in all persons. She used to walk / walked long distances. She didn't use to stay in and
0.3952	0.0392	I didn't use to sleep late.
0.3990	0.2994	You'll get used to her when you get to
0.4157	0.5799	watch TV.
0.4384	0.0392	Did you use to sleep late?
0.4384	0.2980	know her better.
0.4512	0.5799	Be/Get used to + noun / pronouns / -ing form express habitual actions and means 'be/get
0.4793	0.5799	accustomed to', 'be in the habit of.
0.5149	0.5828	•They are used to cold weather. (They are accustomed to cold weather. - present)
0.5412	0.5828	• I'm used to getting up early. (I'm accustomed to getting up early. - present)
0.5712	0.5828	• He wasn't used to working at night. (He wasn't accustomed to working at night. - past)
0.5991	0.5828	• Sophie is getting used to life in the country. (Sophie is becoming accustomed to life in the country.
0.6555	0.5828	• Ron had never lived in a tropical country before but he quickly got used to it. (He became accustomed
0.6835	0.5930	to it. - past)
0.7115	0.5828	• Amanda will soon get used to wearing glasses. (She will become accustomed to wearing glasses.
0.7397	0.5930	- future)
0.7771	0.5814	We use would / used to for reported actions or routines in the past. We do not use would with
0.8072	0.5799	stative verbs because they describe states and not actions.
0.8333	0.5814	Grandma would always make me porridge for breakfast. (also: used to make)
0.8633	0.5799	/ used to have a pet dog. (NOT: would)
0.9007	0.5799	Was going to expresses unfulfilled arrangements or unfulfilled plans in the past or actions
0.9289	0.5799	one intended to do but did not or could not do. He was going to visit Pam but she wasn't at home.
