0.0392	0.0000	Perfect Continuous
0.2473	0.0523	Future Perfect
0.3000	0.0523	Continuous
0.3557	0.3517	Future Perfect Continuous
0.3574	0.4767	by.. for By the end of next month, she will have been teaching for
0.3690	0.0509	emphasis on the duration
0.3868	0.4738	thirty years.
0.4178	0.0509	of an action up to a
0.4622	0.0509	certain time in the future
0.5131	0.0509	By the end of this year, Sally
0.5605	0.0509	will have been working here
0.5754	0.7195	The future perfect continuous is used to emphasise
0.6088	0.0492	for two years.
0.6033	0.7180	the duration of an action up to a certain time in the
0.6246	0.3910	Future Perfect Continuous
0.6311	0.7180	future.
0.6919	0.8750	By the time Rick
0.6984	0.3924	FORM
0.7165	0.8735	retires, he will have
0.7377	0.3968	I/You/We will ('II) have been working.
0.7459	0.8750	been working for
0.7671	0.3983	Will I/you/we have been working? Yes, I/we will.
0.7738	0.8748	the same company
0.7984	0.3982	No, I/we won't.
0.8016	0.8735	for thirty years.
0.8279	0.3983	I/You/We will not (won't) have been working.
0.9082	0.7195	The future perfect continuous is used with: by ... for
