0.0155	0.0000	bs
0.1393	0.0494	Stative Verbs
0.1858	0.0509	Some verbs rarely appear in the continuous tenses. These verbs express a
0.2152	0.0509	permanent state and they are: appear (= seem), be, believe, belong, cost, feel,
0.2462	0.0494	forget, hate, have (= possess), know, like, love, mean, need, prefer, realise,
0.2569	0.5378	Stative Verbs
0.2740	0.0494	remember, see, seem, smell, sound, suppose, taste, think, understand, want, etc.
0.2971	0.5378	Verbs describing a permanent state (stative verbs) do not normally have continuous forms.
0.3096	0.0494	I understand it now. NOT I am understanding it now.
0.3484	0.5392	• verbs of the senses: see, hear, smell, feel, taste, etc. (We often use can or could with these
0.3561	0.0509	Some of these verbs can be used in continuous tenses but with a difference in meaning.
0.3746	0.5523	verbs.) Can you see that tall boy over there?
0.4009	0.5523	However, the verbs look, watch and listen express deliberate actions and can be used in
0.4195	0.0494	Present Simple
0.4179	0.2645	Present Continuous
0.4272	0.5523	continuous forms. Be quiet please! I'm listening to the news. BUT / can't hear you. Can you speak
0.4520	0.5538	louder, please?
0.4675	0.0480	I think he's Italian.
0.4675	0.2631	Tom is thinking of moving house.
0.4784	0.5523	Note: The verbs feel and hurt can be used in either continuous or simple forms.
0.4969	0.0494	(= believe)
0.4953	0.2631	(= is considering)
0.5047	0.5581	A: How are you feeling today? | How do you feel today?
0.5247	0.0494	Katie looks happy.
0.5224	0.2617	They are looking at the paintings
0.5310	0.5567	B: My leg is hurting. / My leg hurts.
0.5541	0.0494	(= appears to be)
0.5541	0.2631	(= are taking a look at)
0.5572	0.5392	• verbs of opinion: agree, believe, consider, etc. / believe he's telling the truth.
0.5821	0.0494	You can see the sea from my room.
0.5821	0.2631	Sam is seeing his friends tonight.
0.5821	0.5407	• verbs of emotion: feel, forgive, hate, like, love, etc. Harry likes rock music.
0.6130	0.0480	(= it is visible)
0.6115	0.2630	(= is meeting)
0.6080	0.5392	• other verbs: appear (= seem), be, belong, fit (= be the right shape and size for sth),
0.6394	0.0509	Derek has a new car.
0.6347	0.5523	have (= possess), know, look (= appear), need, prefer, require, want, weigh, wish, etc.
0.6410	0.2631	We are having dinner at 8 o'clock.
0.6610	0.5509	He knows where Peter is. (NOT: is knowing)
0.6703	0.0494	(= possesses)
0.6703	0.2631	(= are eating)
0.6981	0.0494	This pie tastes really good.
0.6966	0.2631	Paul is tasting the soup to see if it needs salt.
0.7276	0.0494	(= it has a really good flavour)
0.7291	0.2616	(= is trying)
0.7554	0.0494	This new dress fits her perfectly.
0.7554	0.2645	He is fitting a new lock on the door.
0.7848	0.0494	(= it is her size)
0.7864	0.2630	(= is attaching)
0.8142	0.0509	He is so polite.
0.8142	0.2645	He is being so rude today!
0.8438	0.0494	(= that's his character)
0.8422	0.2631	(= he is behaving like that only today)
0.8715	0.0509	She appears to be tired.
0.8699	0.2645	She is appearing in a new TV show.
0.9009	0.0479	(=seems)
0.9009	0.2631	(= is taking part)
